index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
7247,87859,7435,68108,zip,NE,NE,OMAHA,"Omaha-Council Bluffs, NE-IA",Douglas County,DOUGLAS
7248,68220,7436,24572,zip,VA,VA,MADISON HEIGHTS,"Lynchburg, VA",Amherst County,AMHERST
7249,74467,7437,37763,zip,TN,TN,KINGSTON,"Knoxville, TN",Roane County,ROANE
7250,77471,7438,45152,zip,OH,OH,MORROW,"Cincinnati, OH-KY-IN",Warren County,WARREN
7251,61002,7439,08204,zip,NJ,NJ,CAPE MAY,"Ocean City, NJ",Cape May County,CAPE MAY
7252,58196,7440,01001,zip,MA,MA,AGAWAM,"Springfield, MA",Hampden County,HAMPDEN
7253,77966,7440,46113,zip,IN,IN,INDIANAPOLIS,"Indianapolis-Carmel-Anderson, IN",Marion County,MARION
7254,69177,7442,27021,zip,NC,NC,KING,"Winston-Salem, NC",Stokes County,STOKES
7255,85648,7443,62711,zip,IL,IL,SPRINGFIELD,"Springfield, IL",Sangamon County,SANGAMON
7256,69423,7444,27574,zip,NC,NC,ROXBORO,"Durham-Chapel Hill, NC",Person County,PERSON
7257,82463,7446,55804,zip,MN,MN,DULUTH,"Duluth, MN-WI",Saint Louis County,SAINT LOUIS
